Customer_ID,Business_Type,Customer_Segment,Industry,State,City,Registration_Date,Registration_Month,Business_Age,Number_of_Employees,Monthly_Revenue_Capped,Risk_Score,Churn_Status,Acquisition_Channel,Is_Moniebook_User,First_Moniebook_Usage_Date,Days_To_Adopt_Moniebook,Moniebook_Usage_Events,Moniebook_Sessions,Total_Transaction_Records,Successful_Transactions,Failed_Transactions,Total_Transaction_Value,Total_Fees,Total_Profit,Products_With_Transactions,Avg_Transaction_Value,Engagement_Days,Total_Logins,Push_Notifications_Opened,Email_Clicks,Support_Tickets,Avg_Satisfaction_Score,Latest_CLV,Latest_Total_Revenue,Latest_Total_Transactions,Latest_Products_Used,Latest_Days_Since_Last_Login
CUST000001,"Sole Proprietorship",Small,Retail,Oyo,Ogbomosho,"2024-05-22 00:00:00",2024-05-01,1.60,NULL,1869468.00,29.50,Inactive,"Partner Bank",0,NULL,NULL,0,0,52,46,6,3374403.82,18148.35,9707.02,2,64892.38,20,117,31,14,1,6.55,15240.02,NULL,46,2,9
CUST000002,"Limited Liability Company",Micro,"Beauty & Personal Care",Kano,Kano,"2025-04-15 00:00:00",2025-04-01,NULL,5,256463.00,42.20,Active,"Partner Bank",0,NULL,NULL,0,0,35,33,2,441520.17,2192.88,1049.07,2,12614.86,9,26,4,6,0,7.01,1816.27,1156.86,33,2,8
CUST000003,"Sole Proprietorship",Small,Electronics,Lagos,Surulere,"2025-06-30 00:00:00",2025-06-01,2.80,17,1131528.00,48.70,Active,"Agent Network",0,NULL,NULL,0,0,15,13,2,640114.58,3312.47,1559.74,2,42674.31,7,37,10,1,0,7.40,2448.79,1559.74,13,2,30
CUST000004,"Sole Proprietorship",Micro,Fashion,"Akwa Ibom",Eket,"2025-01-05 00:00:00",2025-01-01,2.20,2,438866.00,49.90,Churned,,0,NULL,NULL,0,0,22,22,0,321623.24,2135.07,1098.59,1,15315.39,12,24,5,11,0,6.61,1549.01,1098.59,22,1,7
CUST000005,Partnership,Micro,Electronics,Lagos,Mushin,"2024-06-10 00:00:00",2024-06-01,6.90,4,743452.00,44.00,Active,Referral,0,NULL,NULL,0,0,50,48,2,1833530.78,12589.85,5712.58,2,36670.62,19,53,9,17,0,6.02,9727.26,6195.71,48,2,16
CUST000006,"Registered Business Name",Small,Retail,Enugu,Enugu,"2025-06-29 00:00:00",2025-06-01,2.30,18,661778.00,47.40,Active,"Social Media",0,NULL,NULL,0,0,25,23,2,749162.21,2765.04,1711.39,4,29966.49,7,26,4,7,1,5.90,3234.53,1711.39,23,4,6
CUST000007,"Sole Proprietorship",Micro,Logistics,Lagos,Yaba,"2024-02-02 00:00:00",2024-02-01,2.70,3,264505.00,77.50,Churned,Referral,0,NULL,NULL,0,0,0,0,0,0.00,0.00,0.00,0,NULL,2,4,0,2,0,7.35,0.00,0.00,0,0,NULL
CUST000008,"Limited Liability Company",Micro,Electronics,Kaduna,Kaduna,"2025-02-16 00:00:00",2025-02-01,5.70,NULL,618725.00,46.80,Active,"Field Sales",0,NULL,NULL,0,0,0,0,0,0.00,0.00,0.00,0,NULL,0,0,0,0,0,NULL,0.00,0.00,0,0,NULL
CUST000009,"Sole Proprietorship",Micro,Electronics,FCT,Abuja,"2024-04-05 00:00:00",2024-04-01,4.30,2,NULL,18.10,Active,,0,NULL,NULL,0,0,93,87,6,970627.53,3365.15,1844.76,2,10666.24,21,62,9,14,1,6.43,3000.40,1911.08,87,2,6
CUST000010,"Registered Business Name",Small,Fashion,Enugu,Enugu,"2024-02-21 00:00:00",2024-02-01,1.30,15,1327962.00,NULL,Active,"Agent Network",1,"2025-02-13 00:00:00",358,18,136,151,131,20,11587944.95,67534.11,33774.42,3,76741.36,23,135,41,32,2,6.71,81515.56,34902.83,131,3,14
CUST000011,"Sole Proprietorship",Micro,FMCG,Anambra,Nnewi,"2025-04-13 00:00:00",2025-04-01,5.30,3,480721.00,52.00,Active,"Field Sales",0,NULL,NULL,0,0,0,0,0,0.00,0.00,0.00,0,NULL,9,24,4,13,0,6.29,0.00,NULL,0,0,28
CUST000012,"Registered Business Name",Medium,Retail,Abia,Umuahia,"2024-04-28 00:00:00",2024-04-01,6.60,NULL,3144152.00,49.50,Active,"Field Sales",0,NULL,NULL,0,0,223,208,15,51451004.30,505888.67,270792.72,4,236013.78,21,176,53,14,2,6.78,582582.29,308244.60,208,4,20
